node_A,node_B,node_C,sim_A_B,judgment_A_B,reason_A_B,sim_C_B,judgment_C_B,reason_C_B
D0538843,D0552669,D0550277,0.913004,Yes,"Both designs feature identical uppercase and lowercase alphabets, numerals, and symbol sets arranged in the same vertical layout, with identical spacing and glyph proportions, creating a visually indistinguishable overall impression.",0.787721,No,"The two designs differ significantly in character spacing, glyph proportions, and ornamentation, particularly in the rendering of accented characters and symbols, which affects the overall visual impression."
D0539334,D0545886,D0539837,0.730189,Yes,"Both designs exhibit identical character shapes, spacing, and ornamentation, including the exact placement of symbols and ligatures, creating a visually indistinguishable overall impression.",0.635576,Yes,"Both designs feature identical letterforms, spacing, and character set including symbols and diacritics, creating an indistinguishable overall visual impression."
D0539334,D0552669,D0539837,0.916946,Yes,"Both designs feature identical character sets, proportional spacing, and identical glyph shapes for letters, numbers, and symbols, creating an indistinguishable visual impression under standard scrutiny.",0.869682,Yes,"Both designs exhibit identical character sets, spacing, and glyph shapes, including the same arrangement of letters, numbers, symbols, and special characters, creating a visually indistinguishable overall impression."
D0539334,D0552669,D0545886,0.916946,Yes,"Both designs feature identical character sets, proportional spacing, and identical glyph shapes for letters, numbers, and symbols, creating an indistinguishable visual impression under standard scrutiny.",0.85469,No,"The two designs differ significantly in character spacing, glyph proportions, and arrangement of symbols, particularly in the placement and styling of accented letters and mathematical symbols, which creates a distinct visual impression."
D0539334,D0552669,D0550277,0.916946,Yes,"Both designs feature identical character sets, proportional spacing, and identical glyph shapes for letters, numbers, and symbols, creating an indistinguishable visual impression under standard scrutiny.",0.787721,No,"The two designs differ significantly in character spacing, glyph proportions, and ornamentation, particularly in the rendering of accented characters and symbols, which affects the overall visual impression."
D0539837,D0552669,D0545886,0.869682,Yes,"Both designs exhibit identical character sets, spacing, and glyph shapes, including the same arrangement of letters, numbers, symbols, and special characters, creating a visually indistinguishable overall impression.",0.85469,No,"The two designs differ significantly in character spacing, glyph proportions, and arrangement of symbols, particularly in the placement and styling of accented letters and mathematical symbols, which creates a distinct visual impression."
D0539837,D0552669,D0550277,0.869682,Yes,"Both designs exhibit identical character sets, spacing, and glyph shapes, including the same arrangement of letters, numbers, symbols, and special characters, creating a visually indistinguishable overall impression.",0.787721,No,"The two designs differ significantly in character spacing, glyph proportions, and ornamentation, particularly in the rendering of accented characters and symbols, which affects the overall visual impression."
D0545886,D0552669,D0550277,0.85469,No,"The two designs differ significantly in character spacing, glyph proportions, and arrangement of symbols, particularly in the placement and styling of accented letters and mathematical symbols, which creates a distinct visual impression.",0.787721,No,"The two designs differ significantly in character spacing, glyph proportions, and ornamentation, particularly in the rendering of accented characters and symbols, which affects the overall visual impression."
D0536374,D0549280,D0538335,0.9094,No,"Image A shows four identical rectangular enclosures with internal structural lines, while Image B depicts a longer, more complex unit with distinct mechanical features and a different overall profile, making their visual impressions substantially different.",0.872118,No,"The first design is a rectangular, box-like unit with a grid of perforations and two protruding handles, while the second is a long, slender, elongated unit with a different profile and no visible perforations or handles, indicating distinct overall forms and surface ornamentation."
D0536374,D0549280,D0540855,0.9094,No,"Image A shows four identical rectangular enclosures with internal structural lines, while Image B depicts a longer, more complex unit with distinct mechanical features and a different overall profile, making their visual impressions substantially different.",0.724014,No,"The designs differ significantly in overall shape and form, with Image A showing a rectangular module with protruding connectors and Image B depicting a longer, more complex housing with integrated mechanical features, making the visual impression distinct."
D0536374,D0556258,D0549280,0.918357,No,"Image A shows four identical rectangular enclosures with internal wave-like patterns, while Image B depicts a long, rectangular unit with distinct internal compartments and ventilation slots, indicating fundamentally different overall shapes and surface ornamentation.",0.968091,Yes,"Both images depict identical overall shape, form, and surface ornamentation, including the distinct top handle, side vents, and mounting holes, creating a substantially identical visual impression."
D0536374,D0556258,D0540855,0.918357,No,"Image A shows four identical rectangular enclosures with internal wave-like patterns, while Image B depicts a long, rectangular unit with distinct internal compartments and ventilation slots, indicating fundamentally different overall shapes and surface ornamentation.",0.689712,No,"The designs differ significantly in overall shape and surface ornamentation: Image A shows two identical rectangular units with side-mounted connectors and vented panels, while Image B displays a single, longer unit with a distinct top-mounted latch and a different venting pattern."
D0536374,D0557334,D0549280,0.910671,No,"Image A shows four identical rectangular enclosures with internal wave-like patterns and mounting brackets, while Image B depicts a single elongated, differently shaped unit with a distinct connector and perforated side, indicating dissimilar overall form and surface ornamentation.",0.959224,Yes,"Both designs feature identical overall rectangular form, identical surface ornamentation including the ribbed texture and circular holes, and the same combination of visual elements such as the protruding connector and side grille, indicating substantial visual similarity."
D0536374,D0557334,D0540855,0.910671,No,"Image A shows four identical rectangular enclosures with internal wave-like patterns and mounting brackets, while Image B depicts a single elongated, differently shaped unit with a distinct connector and perforated side, indicating dissimilar overall form and surface ornamentation.",0.742025,No,"The designs differ significantly in overall shape and surface ornamentation: Image A shows a rectangular module with distinct side-mounted connectors and a vented top, while Image B presents a longer, more slender unit with a different connector arrangement and a visible internal cable harness."
D0536374,D0557334,D0556258,0.910671,No,"Image A shows four identical rectangular enclosures with internal wave-like patterns and mounting brackets, while Image B depicts a single elongated, differently shaped unit with a distinct connector and perforated side, indicating dissimilar overall form and surface ornamentation.",0.948927,Yes,"Both designs feature identical overall rectangular form, identical surface ornamentation including the ribbed texture and vented panel, and the same spatial arrangement of components, creating a visually indistinguishable impression."
D0540855,D0556258,D0549280,0.689712,No,"The designs differ significantly in overall shape and surface ornamentation: Image A shows two identical rectangular units with side-mounted connectors and vented panels, while Image B displays a single, longer unit with a distinct top-mounted latch and a different venting pattern.",0.968091,Yes,"Both images depict identical overall shape, form, and surface ornamentation, including the distinct top handle, side vents, and mounting holes, creating a substantially identical visual impression."
D0540855,D0557334,D0549280,0.742025,No,"The designs differ significantly in overall shape and surface ornamentation: Image A shows a rectangular module with distinct side-mounted connectors and a vented top, while Image B presents a longer, more slender unit with a different connector arrangement and a visible internal cable harness.",0.959224,Yes,"Both designs feature identical overall rectangular form, identical surface ornamentation including the ribbed texture and circular holes, and the same combination of visual elements such as the protruding connector and side grille, indicating substantial visual similarity."
D0540855,D0557334,D0556258,0.742025,No,"The designs differ significantly in overall shape and surface ornamentation: Image A shows a rectangular module with distinct side-mounted connectors and a vented top, while Image B presents a longer, more slender unit with a different connector arrangement and a visible internal cable harness.",0.948927,Yes,"Both designs feature identical overall rectangular form, identical surface ornamentation including the ribbed texture and vented panel, and the same spatial arrangement of components, creating a visually indistinguishable impression."
D0534579,D0552170,D0549771,0.942259,No,"Image A shows a compact, minimalist printer with a flat top and simple lines, while Image B features a more complex, striped, and angular design with a distinct control panel and paper tray, indicating significantly different overall visual impression.",0.512138,No,"The designs differ significantly in overall shape and form: Image A depicts a flat, minimalist surface with abstract geometric patterns, while Image B shows a complex, multi-layered printer with distinct functional components and textured surfaces."
D0534579,D0554698,D0549771,0.956671,No,"Image A shows a printer with a flat top and distinct control panel, while Image B has a more boxy form with a hinged lid and vented side, indicating different overall shape and surface ornamentation.",0.510921,No,"Image A shows a flat, elongated device with a distinct rectangular display and circular element, while Image B depicts a cubic, box-like printer with a different overall shape and surface ornamentation, making the visual impression substantially different."
D0534579,D0554698,D0552170,0.956671,No,"Image A shows a printer with a flat top and distinct control panel, while Image B has a more boxy form with a hinged lid and vented side, indicating different overall shape and surface ornamentation.",0.967713,No,"Image A shows a printer with a distinct front-facing control panel and paper tray, while Image B is a more compact, boxy design with no visible control panel or front tray, indicating different overall shapes and surface ornamentation."
D0534579,D0554698,D0537475,0.956671,No,"Image A shows a printer with a flat top and distinct control panel, while Image B has a more boxy form with a hinged lid and vented side, indicating different overall shape and surface ornamentation.",0.975589,Yes,"Both designs feature identical overall cuboid shape, identical top-loading tray with internal partition, and matching ventilation grilles, creating a visually indistinguishable impression."
D0549771,D0554698,D0552170,0.510921,No,"Image A shows a flat, elongated device with a distinct rectangular display and circular element, while Image B depicts a cubic, box-like printer with a different overall shape and surface ornamentation, making the visual impression substantially different.",0.967713,No,"Image A shows a printer with a distinct front-facing control panel and paper tray, while Image B is a more compact, boxy design with no visible control panel or front tray, indicating different overall shapes and surface ornamentation."
D0536726,D0542834,D0542333,0.958608,No,"Image A shows a desktop monitor with a separate, vertically oriented stand, while Image B depicts a single, integrated monitor unit with no external stand, differing significantly in overall form and structural composition.",0.953735,Yes,"Both designs feature identical overall shape, form, and surface ornamentation, including the screen bezel, base, and integrated side panel, creating a substantially identical visual impression."
D0536726,D0543231,D0542333,0.871375,No,"Image A shows a monitor with a vertical stand and a separate, bulky device above it, while Image B features a flat-panel screen with an integrated keyboard and a printer on the left, with a camera mounted above — the overall form and component arrangement are distinctly different.",0.88987,No,"Image A shows a compact, integrated terminal with minimal external components, while Image B features a more complex, multi-component setup with a separate keyboard, printer, and mounted scanner, creating a distinctly different overall visual impression."
D0536726,D0543231,D0542834,0.871375,No,"Image A shows a monitor with a vertical stand and a separate, bulky device above it, while Image B features a flat-panel screen with an integrated keyboard and a printer on the left, with a camera mounted above — the overall form and component arrangement are distinctly different.",0.847461,No,"Image A shows a compact, stand-alone screen with minimal peripherals, while Image B displays a full POS terminal with a keyboard, printer, and barcode scanner, indicating a substantially different overall form and component integration."
D0536726,D0545882,D0542333,0.936929,No,"Image A shows a desktop monitor with a separate stand and attached input device, while Image B depicts a compact, integrated handheld device with a screen and input area, differing significantly in overall form and surface ornamentation.",0.876295,No,"Image A shows a fixed, upright display unit with a separate base, while Image B depicts a hinged, foldable device with an integrated screen and input area, differing significantly in overall form and structural arrangement."
D0536726,D0545882,D0542834,0.936929,No,"Image A shows a desktop monitor with a separate stand and attached input device, while Image B depicts a compact, integrated handheld device with a screen and input area, differing significantly in overall form and surface ornamentation.",0.906198,No,"Image A shows a fixed, upright monitor-style device with a separate base and card reader, while Image B is a clamshell or foldable device with an integrated screen and input surface, differing significantly in overall form and arrangement of visual elements."
D0536726,D0545882,D0543231,0.936929,No,"Image A shows a desktop monitor with a separate stand and attached input device, while Image B depicts a compact, integrated handheld device with a screen and input area, differing significantly in overall form and surface ornamentation.",0.86004,No,"Image A shows a desktop POS terminal with a separate monitor, keyboard, and printer, while Image B depicts a compact, single-unit handheld device with a screen and keypad, differing significantly in overall form and component integration."
D0542333,D0543231,D0542834,0.88987,No,"Image A shows a compact, integrated terminal with minimal external components, while Image B features a more complex, multi-component setup with a separate keyboard, printer, and mounted scanner, creating a distinctly different overall visual impression.",0.847461,No,"Image A shows a compact, stand-alone screen with minimal peripherals, while Image B displays a full POS terminal with a keyboard, printer, and barcode scanner, indicating a substantially different overall form and component integration."
D0542333,D0545882,D0542834,0.876295,No,"Image A shows a fixed, upright display unit with a separate base, while Image B depicts a hinged, foldable device with an integrated screen and input area, differing significantly in overall form and structural arrangement.",0.906198,No,"Image A shows a fixed, upright monitor-style device with a separate base and card reader, while Image B is a clamshell or foldable device with an integrated screen and input surface, differing significantly in overall form and arrangement of visual elements."
D0542333,D0545882,D0543231,0.876295,No,"Image A shows a fixed, upright display unit with a separate base, while Image B depicts a hinged, foldable device with an integrated screen and input area, differing significantly in overall form and structural arrangement.",0.86004,No,"Image A shows a desktop POS terminal with a separate monitor, keyboard, and printer, while Image B depicts a compact, single-unit handheld device with a screen and keypad, differing significantly in overall form and component integration."
D0542834,D0545882,D0543231,0.906198,No,"Image A shows a fixed, upright monitor-style device with a separate base and card reader, while Image B is a clamshell or foldable device with an integrated screen and input surface, differing significantly in overall form and arrangement of visual elements.",0.86004,No,"Image A shows a desktop POS terminal with a separate monitor, keyboard, and printer, while Image B depicts a compact, single-unit handheld device with a screen and keypad, differing significantly in overall form and component integration."
D0544903,D0553669,D0547361,0.887273,Yes,"Both designs share a similar rounded, ergonomic form with a prominent display and keypad, and the overall visual impression is nearly identical in silhouette and layout, indicating substantial similarity under the US/EU standard.",0.856012,No,"Image A features a keypad and screen with a distinct ergonomic curve and button layout, while Image B has a minimalist, rounded form with no keypad, indicating fundamentally different overall shapes and surface ornamentation."
D0547361,D0554694,D0551699,0.600378,No,"Image A shows a sleek, integrated design with a curved screen and keyboard, while Image B depicts two distinct devices with more angular forms and exposed internal components, creating a visually different overall impression.",0.603639,No,"The designs differ significantly in overall shape and form: Image A shows a sleek, elongated, and curved device with a distinct top surface, while Image B depicts a more rectangular, blocky device with a visible keypad and distinct side contours."
D0551700,D0555195,D0555194,0.994466,No,"The two designs differ in the placement and style of the horizontal band on the side panel, which alters the overall visual impression despite similar overall shape and form.",0.963021,No,"Image A shows a compact, stacked design with a separate control panel, while Image B presents a more integrated, boxy multifunction unit with a prominent control panel and document feeder, differing significantly in overall form and surface ornamentation."
D0548272,D0555716,D0548273,0.834131,No,"Image A shows a compact, rectangular shredder with a curved top and control buttons, while Image B depicts a tall, slender, cylindrical container with a flat top and no visible controls or ornamentation, differing significantly in overall form and surface detail.",0.829211,No,"Image A depicts a compact, rectangular shredder with vertical ridges and a slot, while Image B shows a taller, more rounded, and minimalist trash can with no ridges or slot, indicating distinct overall shapes and surface ornamentation."
D0548272,D0558257,D0548273,0.923243,No,"The designs differ significantly in the top panel's control layout and the presence of a side handle in Image B, altering the overall visual impression despite similar basic form.",0.936625,No,"While both devices share a similar general rectangular form and top-loading slot, Image B features a distinctively different front panel with a larger, more prominent oval window and a visible latch mechanism, altering the overall visual impression significantly."
D0548272,D0558257,D0555716,0.923243,No,"The designs differ significantly in the top panel's control layout and the presence of a side handle in Image B, altering the overall visual impression despite similar basic form.",0.877168,No,"Image A shows a tall, rectangular shredder with a flat top and side handles, while Image B depicts a shorter, more compact unit with a curved top and integrated slot, differing significantly in overall form and surface ornamentation."
D0548272,D0558257,D0557735,0.923243,No,"The designs differ significantly in the top panel's control layout and the presence of a side handle in Image B, altering the overall visual impression despite similar basic form.",0.919996,No,"Image A features a rectangular body with a top-loading slot, control buttons, and side handles, while Image B has a more compact, rounded form with a single circular window and no visible controls, indicating distinct overall shapes and surface ornamentation."
D0548272,D0557735,D0548273,0.936345,Yes,"Both designs feature identical overall rectangular form, top-loading slot, control buttons, and side handle, creating a visually indistinguishable impression under the standard.",0.963741,Yes,"Both designs feature a similar rectangular prism form with vertical ribbing, a top feed slot, and control buttons, creating a unified visual impression despite minor differences in button layout and side handle presence."
D0548273,D0558257,D0555716,0.936625,No,"While both devices share a similar general rectangular form and top-loading slot, Image B features a distinctively different front panel with a larger, more prominent oval window and a visible latch mechanism, altering the overall visual impression significantly.",0.877168,No,"Image A shows a tall, rectangular shredder with a flat top and side handles, while Image B depicts a shorter, more compact unit with a curved top and integrated slot, differing significantly in overall form and surface ornamentation."
D0548273,D0558257,D0557735,0.936625,No,"While both devices share a similar general rectangular form and top-loading slot, Image B features a distinctively different front panel with a larger, more prominent oval window and a visible latch mechanism, altering the overall visual impression significantly.",0.919996,No,"Image A features a rectangular body with a top-loading slot, control buttons, and side handles, while Image B has a more compact, rounded form with a single circular window and no visible controls, indicating distinct overall shapes and surface ornamentation."
D0555716,D0558257,D0557735,0.877168,No,"Image A shows a tall, rectangular shredder with a flat top and side handles, while Image B depicts a shorter, more compact unit with a curved top and integrated slot, differing significantly in overall form and surface ornamentation.",0.919996,No,"Image A features a rectangular body with a top-loading slot, control buttons, and side handles, while Image B has a more compact, rounded form with a single circular window and no visible controls, indicating distinct overall shapes and surface ornamentation."
D0537114,D0558262,D0544907,0.607905,No,"The designs differ significantly in overall form: Image A shows a compact, closed device with a flat top, while Image B depicts a hinged, openable unit with a distinct vertical panel and internal structure, creating a fundamentally different visual impression.",0.756428,No,"Image A shows a closed, rectangular case with a flat lid and minimal surface ornamentation, while Image B depicts a case with a hinged, upright display panel and distinct internal structural lines, creating a fundamentally different overall form and visual impression."
D0537114,D0558262,D0556253,0.607905,No,"The designs differ significantly in overall form: Image A shows a compact, closed device with a flat top, while Image B depicts a hinged, openable unit with a distinct vertical panel and internal structure, creating a fundamentally different visual impression.",0.70057,No,"Image A depicts a rectangular, upright device with a circular feature, while Image B shows a hinged, open clamshell design with a screen, indicating fundamentally different overall shapes and form."
D0535324,D0552167,D0548278,0.911183,No,"Image A shows a rectangular box with a flat lid and side-mounted ports, while Image B features a lid with a raised, angled panel and different port arrangement, altering the overall visual impression significantly.",0.665761,No,"Image A depicts a box-like device with a recessed slot and a separate front panel, while Image B shows a more integrated, rounded device with a hinged lid and control panel — the overall form and surface ornamentation differ significantly."
